year,image,config,region,market,product,doses,asset,asset_top,asset_hours,asset_utilization,is_approved,raw_priority,provided_priority
2022,SYRINGE,1x,EU,Cyprus,Gardasil 9,1960,Carlow SFL,0.0,4550.7,3.426599271039467e-05,True,1.0,1.0
2022,SYRINGE,1x,EU,Cyprus,Gardasil 9,1960,WP B38 SFL,0.0,4792.4,4.711489964903775e-05,True,1.0,1.0
2022,SYRINGE,1x,EU,Denmark,Recombivax HB - Adult,1,WP B38 SFL,0.0,4792.4,2.4038214106651916e-08,True,1.0,1.0
2022,SYRINGE,1x,AP (ex. China+India+Japan),Indonesia,Gardasil,14201,WP B38 SFL,0.0,4792.4,0.0003413666785285638,True,1.0,1.0
2022,SYRINGE,1x,EU,Slovakia,Gardasil 9,3956,Carlow SFL,0.0,4550.7,6.916136079710271e-05,True,1.0,1.0
2022,SYRINGE,1x,EU,Slovakia,Gardasil 9,3956,WP B38 SFL,0.0,4792.4,9.509517500591496e-05,True,1.0,1.0
2022,SYRINGE,1x,EEMEA,Kuwait,Pneumovax 23,359,WP B38 SFL,0.0,4792.4,8.629718864288037e-06,True,1.0,1.0
2022,SYRINGE,1x,AP (ex. China+India+Japan),Taiwan,Pneumovax 23,17448,WP B38 SFL,0.0,4792.4,0.00041941875973286263,True,1.0,1.0
2022,VIAL,1x,LA,Argentina,Gardasil,6006,WP B38 VFL,0.0,5760.0,0.00012012076877292014,True,1.0,1.0
2022,VIAL-Diluent,1x,Canada,Canada,Varivax,34359,JHS,0.0,5760.0,0.0011453073299669118,True,8.96,8.96
2022,VIAL-Diluent,1x,Canada,Canada,Varivax,34359,Patheon - Diluent,0.0,5760.0,0.0008589804974751838,True,8.879999999999999,8.879999999999999
2022,SYRINGE,1x,LA,Puerto Rico,Pneumovax 23,1277,WP B38 SFL,0.0,4792.4,3.0696799414194494e-05,True,1.0,1.0
2022,SYRINGE,1x,LA,Argentina,Gardasil 9,674,Carlow SFL,0.0,4550.7,1.1783305656533679e-05,True,1.0,1.0
2022,SYRINGE,1x,LA,Argentina,Gardasil 9,674,WP B38 SFL,0.0,4792.4,1.620175630788339e-05,True,1.0,1.0
2022,VIAL,1x,AP (ex. China+India+Japan),Philippines,Pneumovax 23,104167,WP L131 VFL,0.0,5760.0,0.0052083833336533355,True,1.0,1.0
2022,VIAL,1x,EEMEA,Libyan Arab Jamahiriya,Pneumovax 23,125,WP L131 VFL,0.0,5760.0,6.250040000256002e-06,True,1.0,1.0
2022,SYRINGE,1x,AP (ex. China+India+Japan),Thailand,Gardasil 9,5334,Carlow SFL,0.0,4550.7,9.325245159043122e-05,True,1.0,1.0
2022,SYRINGE,1x,AP (ex. China+India+Japan),Thailand,Gardasil 9,5334,WP B38 SFL,0.0,4792.4,0.0001282198340448813,True,1.0,1.0
2022,SYRINGE,1x,AP (ex. China+India+Japan),Australia,Gardasil 9,58334,Carlow SFL,0.0,4550.7,0.0010198328667184503,True,1.0,1.0
2022,SYRINGE,1x,AP (ex. China+India+Japan),Australia,Gardasil 9,58334,WP B38 SFL,0.0,4792.4,0.0014022451816974326,True,1.0,1.0
2022,LYO,1x,Canada,Canada,M-M-R II,19753,VMF 101,0.0,3072.0,0.0011223230155751821,True,9.0,9.0
2022,LYO,1x,Canada,Canada,M-M-R II,19753,WP L127,0.0,4486.4,0.0012743818874299106,True,9.0,9.0
2022,LYO,1x,Canada,Canada,M-M-R II,19753,Winterfell,0.0,0.0,1000000.0,True,9.0,9.0
2022,LYO,1x,Canada,Canada,M-M-R II,19753,VMF 102,0.0,3447.6,0.00080296731516442,True,9.0,9.0
2022,SYRINGE,1x,AP (ex. China+India+Japan),Philippines,Pneumovax 23,31244,WP B38 SFL,0.0,4792.4,0.0007510499615482324,True,1.0,1.0
2022,SYRINGE,1x,EU,Czech Republic,Vaxneuvance Ped,750,Carlow SFL,0.0,4550.7,1.3111987006528574e-05,True,1.0,1.0
2022,SYRINGE,1x,EU,Czech Republic,Vaxneuvance Ped,750,Coral,583333.3333333334,5760.1,5.000041197006102e-05,True,8.28,8.28
2022,LYO,1x,US,United States of America,ProQuad,321588,VMF 101,0.0,3072.0,0.01827193914508134,True,9.0,9.0
2022,LYO,1x,US,United States of America,ProQuad,321588,WP L127,0.0,4486.4,0.020747528092685166,True,9.0,9.0
2022,LYO,1x,US,United States of America,ProQuad,321588,Winterfell,0.0,0.0,1000000.0,True,9.0,9.0
2022,LYO,1x,US,United States of America,ProQuad,321588,VMF 102,0.0,3447.6,0.013072680248524047,True,9.0,9.0
2022,SYRINGE,1x,LA,Ecuador,Gardasil,4084,WP B38 SFL,0.0,4792.4,9.817206641156641e-05,True,1.0,1.0
2022,VIAL-Diluent,1x,LA,Brazil,Varivax,14839,JHS,0.0,5760.0,0.0004946364990069269,True,8.96,8.96
2022,VIAL-Diluent,1x,LA,Brazil,Varivax,14839,Patheon - Diluent,0.0,5760.0,0.00037097737425519523,True,8.879999999999999,8.879999999999999
2022,SYRINGE,1x,US,United States of America,Recombivax - HB Pediatric,135945,WP B38 SFL,0.0,4792.4,0.0032678750167287945,True,1.0,1.0
2022,SYRINGE,1x,EU,Belgium,Recombivax HB - Adult,192,WP B38 SFL,0.0,4792.4,4.6153371084771676e-06,True,1.0,1.0
2022,SYRINGE,1x,AP (ex. China+India+Japan),Australia,Recombivax HB - Adult,2917,WP B38 SFL,0.0,4792.4,7.011947054910363e-05,True,1.0,1.0
2022,SYRINGE,1x,EU,Reunion,Vaqta - Adult,14,WP B38 SFL,0.0,4792.4,3.365349974931268e-07,True,1.0,1.0
2022,SYRINGE,1x,EU,Reunion,Vaqta - Adult,14,Parkway,333333.3333333333,5760.1,9.333410234411392e-07,True,8.14,8.14
2022,SYRINGE,1x,EU,Netherlands,Vaqta - Pediatric,709,WP B38 SFL,0.0,4792.4,1.7043093801616207e-05,True,1.0,1.0
2022,SYRINGE,1x,EU,Netherlands,Vaqta - Pediatric,709,Parkway,333333.3333333333,5760.1,4.726705611569769e-05,True,8.36,8.36
2022,SYRINGE,1x,AP (ex. China+India+Japan),Australia,Pneumovax 23,3756,WP B38 SFL,0.0,4792.4,9.028753218458458e-05,True,1.0,1.0
2022,SYRINGE,1x,LA,Bahamas,Pneumovax 23,12,WP B38 SFL,0.0,4792.4,2.8845856927982297e-07,True,1.0,1.0
2022,SYRINGE,1x,EU,Algeria,Pneumovax 23,354,Carlow SFL,0.0,4550.7,6.188857867081487e-06,True,1.0,1.0
2022,SYRINGE,1x,EU,Algeria,Pneumovax 23,354,WP B38 SFL,0.0,4792.4,8.509527793754777e-06,True,1.0,1.0
2022,VIAL,1x,LA,Bahamas,Gardasil,27283,WP B38 VFL,0.0,5760.0,0.0005456634922463504,True,1.0,1.0
2022,VIAL,1x,EEMEA,South Africa,Pneumovax 23,1703,WP L131 VFL,0.0,5760.0,8.515054496348777e-05,True,1.0,1.0
2022,SYRINGE,1x,Canada,Canada,Pneumovax 23,74439,WP B38 SFL,0.0,4792.4,0.0017893806198850618,True,1.0,1.0
2022,SYRINGE,1x,EU,France,Recombivax - HB Pediatric,264,WP B38 SFL,0.0,4792.4,6.346088524156105e-06,True,1.0,1.0
2022,SYRINGE,1x,EEMEA,Jordan,Gardasil 9,108,WP B38 SFL,0.0,4792.4,2.596127123518407e-06,True,1.0,1.0
2022,SYRINGE,1x,EEMEA,Ukraine,Gardasil,5837,WP B38 SFL,0.0,4792.4,0.00014031105574052722,True,1.0,1.0
2022,SYRINGE,1x,China,China,Pneumovax 23,78239,WP B38 SFL,0.0,4792.4,0.001880725833490339,True,1.0,1.0
2022,SYRINGE,1x,EU,Germany,Gardasil 9,163985,Carlow SFL,0.0,4550.7,0.0028668922523541174,True,1.0,1.0
2022,SYRINGE,1x,EU,Germany,Gardasil 9,163985,WP B38 SFL,0.0,4792.4,0.003941906540279314,True,1.0,1.0
2022,VIAL,1x,GAVI,Kenya,Gardasil,1667682,WP B38 VFL,0.0,5760.0,0.03335385346466217,True,1.0,1.0
2022,SYRINGE,1x,AP (ex. China+India+Japan),Australia,Recombivax - HB Pediatric,14600,WP B38 SFL,0.0,4792.4,0.00035095792595711794,True,1.0,1.0
2022,SYRINGE,1x,EU,Lithuania,Gardasil 9,793,Carlow SFL,0.0,4550.7,1.386374092823621e-05,True,1.0,1.0
2022,SYRINGE,1x,EU,Lithuania,Gardasil 9,793,WP B38 SFL,0.0,4792.4,1.9062303786574968e-05,True,1.0,1.0
2022,SYRINGE,1x,AP (ex. China+India+Japan),"Korea, Republic of",Gardasil,44935,WP B38 SFL,0.0,4792.4,0.0010801571508824038,True,1.0,1.0
2022,SYRINGE,1x,EU,Sweden,Vaxneuvance Ped,3075,Carlow SFL,0.0,4550.7,5.375914672676715e-05,True,1.0,1.0
2022,SYRINGE,1x,EU,Sweden,Vaxneuvance Ped,3075,Coral,583333.3333333334,5760.1,0.00020500168907725021,True,8.28,8.28
2022,SYRINGE,1x,EEMEA,Egypt,Pneumovax 23,754,WP B38 SFL,0.0,4792.4,1.812481343641554e-05,True,1.0,1.0
2022,SYRINGE,1x,LA,Jamaica,Pneumovax 23,12,WP B38 SFL,0.0,4792.4,2.8845856927982297e-07,True,1.0,1.0
2022,SYRINGE,1x,EU,France,Pneumovax 23,41427,Carlow SFL,0.0,4550.7,0.0007242537142926123,True,1.0,1.0
2022,SYRINGE,1x,EU,France,Pneumovax 23,41427,WP B38 SFL,0.0,4792.4,0.000995831095796269,True,1.0,1.0
2022,SYRINGE,1x,EU,Germany,Recombivax - HB Pediatric,291,WP B38 SFL,0.0,4792.4,6.995120305035706e-06,True,1.0,1.0
2022,SYRINGE,1x,EU,Netherlands,Gardasil 9,1271,Carlow SFL,0.0,4550.7,2.2220447313730423e-05,True,1.0,1.0
2022,SYRINGE,1x,EU,Netherlands,Gardasil 9,1271,WP B38 SFL,0.0,4792.4,3.055257012955458e-05,True,1.0,1.0
2022,SYRINGE,1x,AP (ex. China+India+Japan),"Korea, Republic of",Vaqta - Adult,7265,WP B38 SFL,0.0,4792.4,0.00017463762548482615,True,1.0,1.0
2022,SYRINGE,1x,AP (ex. China+India+Japan),French Polynesia,Pneumovax 23,21,WP B38 SFL,0.0,4792.4,5.048024962396902e-07,True,1.0,1.0
2022,VIAL,1x,LA,Puerto Rico,Pedvax HIB,147,WP L131 VFL,0.0,5760.0,7.350047040301059e-06,True,1.0,1.0
2022,SYRINGE,1x,EU,Austria,Recombivax HB - Adult,421,WP B38 SFL,0.0,4792.4,1.0120088138900456e-05,True,1.0,1.0
2022,VIAL-Diluent,1x,GHH (Global Buckets),Greenland,M-M-R II,270834,JHS,0.0,5760.0,0.00902785777828978,True,8.96,8.96
2022,VIAL-Diluent,1x,GHH (Global Buckets),Greenland,M-M-R II,270834,Patheon - Diluent,0.0,5760.0,0.006770893333717337,True,8.879999999999999,8.879999999999999
2022,SYRINGE,1x,EU,Finland,Recombivax HB - Adult,3845,WP B38 SFL,0.0,4792.4,9.24269332400766e-05,True,1.0,1.0
2022,VIAL,1x,EU,United Kingdom,Recombivax HB - Dialysis,1048,WP L131 VFL,0.0,5760.0,5.240033536214632e-05,True,1.0,1.0
2022,VIAL,1x,EEMEA,Egypt,Gardasil,657,WP B38 VFL,0.0,5760.0,1.3140084096538218e-05,True,1.0,1.0
2022,SYRINGE,1x,EU,Greece,Vaqta - Adult,258,WP B38 SFL,0.0,4792.4,6.201859239516194e-06,True,1.0,1.0
2022,SYRINGE,1x,EU,Greece,Vaqta - Adult,258,Parkway,333333.3333333333,5760.1,1.720014171770099e-05,True,8.14,8.14
2022,SYRINGE,1x,EU,Slovakia,Vaqta - Pediatric,181,WP B38 SFL,0.0,4792.4,4.350916753303996e-06,True,1.0,1.0
2022,SYRINGE,1x,EU,Slovakia,Vaqta - Pediatric,181,Parkway,333333.3333333333,5760.1,1.2066766088774728e-05,True,8.36,8.36
2022,VIAL,1x,Canada,Canada,Vaqta - Pediatric,1251,WP B38 VFL,0.0,5760.0,2.5020160129024824e-05,True,1.0,1.0
2022,LYO,1x,GHH (Global Buckets),Greenland,Varivax,254167,VMF 101,0.0,3072.0,0.014441222796521913,True,9.0,9.0
2022,LYO,1x,GHH (Global Buckets),Greenland,Varivax,254167,WP L127,0.0,4486.4,0.016397803937751133,True,9.0,9.0
2022,LYO,1x,GHH (Global Buckets),Greenland,Varivax,254167,Winterfell,0.0,0.0,1000000.0,True,9.0,9.0
2022,LYO,1x,GHH (Global Buckets),Greenland,Varivax,254167,VMF 102,0.0,3447.6,0.0103319897531208,True,9.0,9.0
2022,SYRINGE,1x,India,India,Pneumovax 23,32944,Carlow SFL,0.0,4550.7,0.0005759483999241031,True,1.0,1.0
2022,SYRINGE,1x,India,India,Pneumovax 23,32944,WP B38 SFL,0.0,4792.4,0.0007919149255295406,True,1.0,1.0
2022,VIAL-Diluent,1x,LA,Brazil,M-M-R II,12094,JHS,0.0,5760.0,0.0004031359134031791,True,8.96,8.96
2022,VIAL-Diluent,1x,LA,Brazil,M-M-R II,12094,Patheon - Diluent,0.0,5760.0,0.00030235193505238434,True,8.879999999999999,8.879999999999999
2022,VIAL-Diluent,1x,Canada,Canada,M-M-R II,19753,JHS,0.0,5760.0,0.0006584375473336363,True,8.96,8.96
2022,VIAL-Diluent,1x,Canada,Canada,M-M-R II,19753,Patheon - Diluent,0.0,5760.0,0.0004938281605002272,True,8.879999999999999,8.879999999999999
2022,SYRINGE,1x,AP (ex. China+India+Japan),New Caledonia,Vaqta - Adult,5,WP B38 SFL,0.0,4792.4,1.2019107053325958e-07,True,1.0,1.0
2022,VIAL,1x,EEMEA,Morocco,Gardasil,46040,WP B38 VFL,0.0,5760.0,0.0009208058931577162,True,1.0,1.0
2022,SYRINGE,1x,AP (ex. China+India+Japan),China (Hong Kong S.A.R.),Pneumovax 23,3849,WP B38 SFL,0.0,4792.4,9.252308609650321e-05,True,1.0,1.0
2022,SYRINGE,1x,EU,Norway,Vaxneuvance Ped,3,Carlow SFL,0.0,4550.7,5.2447948026114295e-08,True,1.0,1.0
2022,SYRINGE,1x,EU,Norway,Vaxneuvance Ped,3,Coral,583333.3333333334,5760.1,2.0000164788024409e-07,True,8.28,8.28
2022,SYRINGE,1x,LA,Guyana,Pneumovax 23,12,WP B38 SFL,0.0,4792.4,2.8845856927982297e-07,True,1.0,1.0
2022,VIAL,1x,EEMEA,Oman,Vaqta - Pediatric,3445,WP B38 VFL,0.0,5760.0,6.890044096282216e-05,True,1.0,1.0
2022,SYRINGE,1x,EU,Latvia,Gardasil 9,2101,Carlow SFL,0.0,4550.7,3.673104626762205e-05,True,1.0,1.0
2022,SYRINGE,1x,EU,Latvia,Gardasil 9,2101,WP B38 SFL,0.0,4792.4,5.050428783807567e-05,True,1.0,1.0
2022,SYRINGE,1x,EU,Norway,Pneumovax 23,8334,Carlow SFL,0.0,4550.7,0.00014570039961654552,True,1.0,1.0
2022,SYRINGE,1x,EU,Norway,Pneumovax 23,8334,WP B38 SFL,0.0,4792.4,0.00020033447636483705,True,1.0,1.0
2022,LYO,1x,US,United States of America,Varivax,447644,VMF 101,0.0,3072.0,0.025434170201191555,True,9.0,9.0
2022,LYO,1x,US,United States of America,Varivax,447644,WP L127,0.0,4486.4,0.02888014000995671,True,9.0,9.0
2022,LYO,1x,US,United States of America,Varivax,447644,Winterfell,0.0,0.0,1000000.0,True,9.0,9.0
2022,LYO,1x,US,United States of America,Varivax,447644,VMF 102,0.0,3447.6,0.018196906840958926,True,9.0,9.0
2022,SYRINGE,1x,EU,France,Gardasil 9,133696,Carlow SFL,0.0,4550.7,0.0023373602864331256,True,1.0,1.0
2022,SYRINGE,1x,EU,France,Gardasil 9,133696,WP B38 SFL,0.0,4792.4,0.0032138130732029344,True,1.0,1.0
2022,SYRINGE,1x,EU,Martinique,Pneumovax 23,50,Carlow SFL,0.0,4550.7,8.741324671019049e-07,True,1.0,1.0
2022,SYRINGE,1x,EU,Martinique,Pneumovax 23,50,WP B38 SFL,0.0,4792.4,1.2019107053325956e-06,True,1.0,1.0
2022,SYRINGE,1x,LA,Barbados,Pneumovax 23,12,WP B38 SFL,0.0,4792.4,2.8845856927982297e-07,True,1.0,1.0
2022,SYRINGE,1x,EU,Belgium,Vaqta - Pediatric,75,WP B38 SFL,0.0,4792.4,1.8028660579988936e-06,True,1.0,1.0
2022,SYRINGE,1x,EU,Belgium,Vaqta - Pediatric,75,Parkway,333333.3333333333,5760.1,5.000041197006103e-06,True,8.36,8.36
2022,SYRINGE,1x,EU,Poland,Gardasil,1412,WP B38 SFL,0.0,4792.4,3.39419583185925e-05,True,1.0,1.0
2022,VIAL,1x,Canada,Canada,Recombivax HB - Dialysis,1682,WP L131 VFL,0.0,5760.0,8.410053824344477e-05,True,1.0,1.0
2022,SYRINGE,1x,EEMEA,Iran (Islamic Republic of),Pneumovax 23,1834,WP B38 SFL,0.0,4792.4,4.408608467159961e-05,True,1.0,1.0
2022,SYRINGE,1x,EEMEA,Lebanon,Gardasil 9,2249,WP B38 SFL,0.0,4792.4,5.406194352586016e-05,True,1.0,1.0
2022,SYRINGE,1x,EU,Luxembourg,Pneumovax 23,375,Carlow SFL,0.0,4550.7,6.555993503264287e-06,True,1.0,1.0
2022,SYRINGE,1x,EU,Luxembourg,Pneumovax 23,375,WP B38 SFL,0.0,4792.4,9.014330289994467e-06,True,1.0,1.0
